Moisture (%),Foreign Matter (%),Broken (%),Red & Chalky grains (%),Damaged Grain (%),Discolored grain(%)/ 1mm/ Shrivelled,Mixed ( lower class) (%) (Other Grain),Final Value,outcome
12,2,,,4.6,,9.3,6.676,A
14,2,,,4.8,,8.9,7.688,A
13.1,0.3,18.6,4.4,0.2,1.5,8.5,8.982,C
13.3,0.2,18.2,3.6,1,1.2,9.3,8.978,C
13.1,0.4,19.5,4.5,1.5,1.6,8.5,9.184,C
13.2,0.3,19.2,4.6,1.6,1.4,9.1,9.192,C
13.1,0.5,10.6,4.8,1.7,1.5,9.1,8.352,B
13,0.4,17.6,4.1,1.6,1.5,9.1,8.906,C
12.9,0.4,17.2,4.22,1.6,1.2,8.1,8.816,B
12,0.4,18.4,4,1.5,1.6,9.1,8.474,B
12.5,0.5,19.6,5.1,1.6,1.4,8.9,8.972,C
12,0.4,20.1,5.1,1.2,1.6,9.1,8.736,B
13.1,0.5,19.8,5.1,0.9,1.6,9.6,9.258,C
12.3,0.5,20.6,5,1.2,1.6,9.5,8.946,C
12.3,0.4,19.6,5.8,1.3,1.9,9.6,8.924,C
12.4,0.4,19.4,6,2,2,9.4,9.02,C
12.7,0.5,18.6,5.2,1.6,1.8,9.6,8.998,C
12.4,0.5,18.7,5.6,1.5,1.8,9.1,8.892,B
12.4,0.5,19.2,5.3,1.1,1.4,9.3,8.872,B
12.6,0.5,19.3,5.4,1.4,1.8,9.3,9.026,C
12.5,0.5,18.4,5.6,1.7,1.8,9.1,8.924,C
12.7,0.35,1.3,3.2,1.6,1.5,8.1,7.026,A
13,0.3,18.7,3.1,1.3,1.6,8.1,8.882,B
12.7,0.2,18.2,3.8,1.7,1.5,8.9,8.752,B
13.1,0.5,19.3,3.8,0.9,1.3,9.1,9.066,C
12.3,0.5,18.8,3.8,1.4,1.3,9.1,8.646,B
12.7,0.5,19.2,3.8,1.2,1.3,8.7,8.874,B
12.9,0.28,16.4,3.1,1.3,1,8.4,8.574,B
13.9,0.36,17.33,4.3,1.4,1.2,7.7,9.317,C
14,0.4,18.9,4.6,1.6,1.2,9.1,9.574,C
12.8,0.41,17.6,4.1,1.8,1.2,9.2,8.808,B
12.8,0.25,18.9,3.7,1.3,1,8.9,8.828,B
12.6,0.4,18.3,3.8,1.5,1.4,9.6,8.736,B
12.9,0.4,18.3,4.3,1.8,1.6,9.1,8.962,C
13.2,0.4,19.2,3.9,1.5,1.2,8.7,9.128,C
13.1,0.3,17.9,4.3,1.4,1.5,8.7,8.974,C
12,,,,,,,6,A
12.2,0.4,17.9,3.7,1.7,1.3,8.1,8.494,B
