Moisture (%),Foreign Matter (%),Broken (%),Red & Chalky grains (%),Damaged Grain (%),Discolored grain(%)/ 1mm/ Shrivelled,Mixed ( lower class) (%) (Other Grain),Final Value,outcome,
12,2,,,4.6,,9.3,6.676,A,6.676
14,2,,,4.8,,8.9,7.688,B,7.688
13.1,0.3,18.6,4.4,0.2,1.5,8.5,8.982,C,8.982
13.3,0.2,18.2,3.6,1,1.2,9.3,8.978,C,8.978
13.1,0.4,19.5,4.5,1.5,1.6,8.5,9.184,C,9.184
13.2,0.3,19.2,4.6,1.6,1.4,9.1,9.192,C,9.192
13.1,0.5,10.6,4.8,1.7,1.5,9.1,8.352,B,8.352
13,0.4,17.6,4.1,1.6,1.5,9.1,8.906,C,8.906
12.9,0.4,17.2,4.22,1.6,1.2,8.1,8.816,C,8.816
12,0.4,18.4,4,1.5,1.6,9.1,8.474,B,8.474
12.5,0.5,19.6,5.1,1.6,1.4,8.9,8.972,C,8.972
12,0.4,20.1,5.1,1.2,1.6,9.1,8.736,C,8.736
13.1,0.5,19.8,5.1,0.9,1.6,9.6,9.258,C,9.258
12.3,0.5,20.6,5,1.2,1.6,9.5,8.946,C,8.946
12.3,0.4,19.6,5.8,1.3,1.9,9.6,8.924,C,8.924
12.4,0.4,19.4,6,2,2,9.4,9.02,C,9.02
12.7,0.5,18.6,5.2,1.6,1.8,9.6,8.998,C,8.998
12.4,0.5,18.7,5.6,1.5,1.8,9.1,8.892,C,8.892
12.4,0.5,19.2,5.3,1.1,1.4,9.3,8.872,C,8.872
12.6,0.5,19.3,5.4,1.4,1.8,9.3,9.026,C,9.026
12.5,0.5,18.4,5.6,1.7,1.8,9.1,8.924,C,8.924
12.7,0.35,1.3,3.2,1.6,1.5,8.1,7.026,C,7.026
13,0.3,18.7,3.1,1.3,1.6,8.1,8.882,D,8.882
12.7,0.2,18.2,3.8,1.7,1.5,8.9,8.752,D,8.752
13.1,0.5,19.3,3.8,0.9,1.3,9.1,9.066,D,9.066
12.3,0.5,18.8,3.8,1.4,1.3,9.1,8.646,D,8.646
12.7,0.5,19.2,3.8,1.2,1.3,8.7,8.874,D,8.874
12.9,0.28,16.4,3.1,1.3,1,8.4,8.574,D,8.574
13.9,0.36,17.33,4.3,1.4,1.2,7.7,9.317,D,9.317
14,0.4,18.9,4.6,1.6,1.2,9.1,9.574,D,9.574
12.8,0.41,17.6,4.1,1.8,1.2,9.2,8.808,D,8.808
12.8,0.25,18.9,3.7,1.3,1,8.9,8.828,D,8.828
12.6,0.4,18.3,3.8,1.5,1.4,9.6,8.736,D,8.736
12.9,0.4,18.3,4.3,1.8,1.6,9.1,8.962,D,8.962
13.2,0.4,19.2,3.9,1.5,1.2,8.7,9.128,D,9.128
13.1,0.3,17.9,4.3,1.4,1.5,8.7,8.974,D,8.974
12,,,,,,,6,C,6
12.2,0.4,17.9,3.7,1.7,1.3,8.1,8.494,D,8.494
13.9,0.4,19.1,3.5,1.8,1.4,7.4,9.454,D,9.454
13.3,0.6,25,4.7,2,2.5,6.2,9.96,D,9.96
13.1,0.4,17,4.1,1.5,1.7,6.1,8.898,D,8.898
13,0.4,16.3,4,1.9,1.6,7.3,8.788,D,8.788
13.1,0.4,16,4,1.5,1.6,5.6,8.784,D,8.784
12.1,0.4,14.7,3.7,1.4,1.6,7.9,8.118,D,8.118
12,0.4,15.9,4.2,1.5,1.9,6.3,8.256,D,8.256
12.5,0.5,18.6,5.2,1.6,1.8,9.6,8.898,D,8.898
12.5,0.5,18.7,5.6,1.5,1.8,9.1,8.942,D,8.942
12.6,0.5,19.2,5.3,1.1,1.4,9.3,8.972,D,8.972
12.7,0.5,19.3,5.4,1.4,1.8,9.3,9.076,D,9.076
12.6,0.5,18.4,5.6,1.7,1.8,9.1,8.974,D,8.974
12.5,0.35,18.3,3.2,1.6,1.5,8.1,8.626,D,8.626
12.9,0.3,18.7,3.1,1.3,1.6,8.1,8.832,D,8.832
12.6,0.2,18.2,3.8,1.7,1.5,8.9,8.702,D,8.702
12.8,0.5,18.6,5.2,1.6,1.8,9.6,9.048,D,9.048
12.3,0.5,18.7,5.6,1.5,1.8,9.1,8.842,D,8.842
12.3,0.5,19.2,5.3,1.1,1.4,9.3,8.822,D,8.822
12.5,0.5,19.3,5.4,1.4,1.8,9.3,8.976,D,8.976
12.4,0.5,18.4,5.6,1.7,1.8,9.1,8.874,D,8.874
12.8,0.35,18.3,3.2,1.6,1.5,8.1,8.776,D,8.776
13.1,0.3,18.7,3.1,1.3,1.6,8.1,8.932,D,8.932
12.9,0.2,18.2,3.8,1.7,1.5,8.9,8.852,D,8.852
12.6,0.5,18.7,5.6,1.5,1.8,9.1,8.992,D,8.992
12.8,0.5,19.3,5.4,1.4,1.8,9.3,9.126,D,9.126
13.2,0.5,19.3,3.8,0.9,1.3,9.1,9.116,D,9.116
12.8,0.28,16.4,3.1,1.3,1,8.4,8.524,D,8.524
13.8,0.36,17.33,4.3,1.4,1.2,7.7,9.267,D,9.267
13.2,0.28,16.4,3.1,1.3,1,8.4,8.724,D,8.724
14.1,0.4,18.9,4.6,1.6,1.2,9.1,9.624,D,9.624
12.9,0.41,17.6,4.1,1.8,1.2,9.2,8.858,D,8.858
12.9,0.25,18.9,3.7,1.3,1,8.9,8.878,D,8.878
12.5,0.4,18.3,3.8,1.5,1.4,9.6,8.686,D,8.686
14,0.36,17.33,4.3,1.4,1.2,7.7,9.367,D,9.367
13.9,0.4,18.9,4.6,1.6,1.2,9.1,9.524,D,9.524
12.7,0.41,17.6,4.1,1.8,1.2,9.2,8.758,D,8.758
12.6,0.25,18.9,3.7,1.3,1,8.9,8.728,D,8.728
12.8,0.4,18.3,3.8,1.5,1.4,9.6,8.836,D,8.836
